                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3856,                 3.2152,                 1.2219,                0.67034,                 0.6421,                0.74179,                0.51921,                 1.0735,                 1.7112,                 1.1041,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.0065,                 1.2828,                 1.0169,                 0.8131,                0.91529,                0.93638,                0.69515,                0.94816,                0.73973,                 1.0251,             0.00037152,             0.00037152,             0.00037152
                      3,                0.93537,                 1.0927,                 1.0031,                0.83085,                0.92622,                0.96442,                0.71747,                0.94834,                0.69251,                 1.0204,             0.00053668,             0.00053668,             0.00053668
                      4,                0.90455,                0.96884,                 0.9859,                0.93377,                0.97559,                0.97928,                0.75211,                0.89039,                0.57368,                 1.0108,             0.00051815,             0.00051815,             0.00051815
                      5,                0.85377,                0.89457,                0.96135,                0.95744,                0.97023,                0.98323,                0.75915,                0.84434,                0.48921,                0.98798,             0.00051815,             0.00051815,             0.00051815
                      6,                0.84472,                 0.8422,                0.96609,                0.96575,                0.98313,                0.98707,                0.71818,                 1.0133,                  0.511,                 1.0699,             0.00049486,             0.00049486,             0.00049486
                      7,                0.84343,                0.84043,                0.96532,                0.96208,                0.97234,                0.98241,                0.77566,                0.83898,                0.48122,                0.97015,             0.00047158,             0.00047158,             0.00047158
                      8,                0.81981,                 0.8147,                0.96543,                0.96319,                0.98334,                0.97869,                0.75484,                0.87746,                0.48677,                0.98575,             0.00044829,             0.00044829,             0.00044829
                      9,                 0.8563,                0.81796,                 0.9751,                0.96994,                0.98281,                0.98552,                0.75086,                0.87878,                0.44964,                0.99542,             0.00042501,             0.00042501,             0.00042501
                     10,                0.81726,                0.78994,                0.94987,                0.97794,                0.99051,                0.98371,                 0.7897,                0.77292,                 0.4027,                0.95083,             0.00040172,             0.00040172,             0.00040172
                     11,                0.77729,                0.75216,                0.94178,                 0.9738,                0.99011,                0.98514,                0.77795,                0.80696,                 0.4087,                0.97547,             0.00037844,             0.00037844,             0.00037844
                     12,                0.77214,                 0.7558,                0.94239,                0.97585,                0.98948,                 0.9784,                0.78437,                0.77425,                0.40574,                0.95983,             0.00035515,             0.00035515,             0.00035515
                     13,                0.75793,                0.74906,                0.92769,                0.96995,                0.98582,                0.98199,                0.79642,                0.75851,                0.41342,                0.94094,             0.00033187,             0.00033187,             0.00033187
                     14,                0.74417,                 0.7236,                0.93553,                0.97329,                0.99161,                0.98758,                0.80159,                0.77097,                0.39062,                0.95051,             0.00030858,             0.00030858,             0.00030858
                     15,                0.77712,                 0.7479,                0.94005,                0.95577,                 0.9868,                0.98255,                0.80072,                0.77218,                0.41244,                0.95574,              0.0002853,              0.0002853,              0.0002853
                     16,                0.73991,                0.70264,                0.95576,                0.97613,                0.99013,                0.98333,                 0.7869,                0.78163,                0.39719,                0.95923,             0.00026201,             0.00026201,             0.00026201
                     17,                 0.7279,                  0.688,                0.95366,                0.97785,                   0.99,                0.98447,                0.80123,                0.74791,                0.38593,                0.94146,             0.00023873,             0.00023873,             0.00023873
                     18,                0.72053,                 0.6699,                0.94826,                0.97158,                0.98996,                0.98012,                0.79773,                0.75195,                0.38357,                0.94046,             0.00021544,             0.00021544,             0.00021544
                     19,                0.71677,                0.66376,                0.94989,                 0.9684,                0.99013,                0.97994,                0.79916,                0.75932,                0.39754,                0.94286,             0.00019216,             0.00019216,             0.00019216
                     20,                0.70254,                0.65322,                0.94369,                0.97919,                0.98742,                0.98484,                 0.8033,                0.73975,                0.36959,                0.93998,             0.00016887,             0.00016887,             0.00016887
                     21,                0.70255,                0.64907,                 0.9347,                  0.975,                0.98227,                0.98564,                0.80893,                0.73437,                0.37774,                0.93668,             0.00014559,             0.00014559,             0.00014559
                     22,                0.67802,                 0.6308,                0.93365,                0.97393,                0.98837,                0.98502,                0.79947,                0.74991,                0.36284,                0.94202,              0.0001223,              0.0001223,              0.0001223
                     23,                0.65968,                0.62018,                0.92679,                0.97703,                0.99013,                0.98754,                0.81022,                0.73041,                0.35197,                0.93645,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     24,                0.65495,                0.61642,                0.92053,                0.96697,                0.98647,                0.98756,                0.81093,                0.73828,                0.35646,                0.94143,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     25,                  0.649,                 0.6065,                0.90937,                0.97386,                0.98714,                0.98762,                0.81702,                 0.7318,                0.35353,                0.93895,              5.245e-05,              5.245e-05,              5.245e-05
